id,Director
180,Steven Spielberg
74,Steven Spielberg
744,Tony Scott
2119,Tony Scott
2604,Oliver Stone
137113,Doug Liman
616,Edward Zwick
345,Stanley Kubrick
881,Rob Reiner
2253,Bryan Singer
954,Brian De Palma
37834,James Mangold
956,J.J. Abrams
955,John Woo
37233,Sydney Pollack
177677,Christopher McQuarrie
56292,Brad Bird
1538,Michael Mann
9390,Cameron Crowe
1903,Cameron Crowe
75780,Christopher McQuarrie
87502,Robert Zemeckis
4982,Ridley Scott
9509,Tony Scott
8963,Tony Scott
44048,Tony Scott
18487,Tony Scott
156022,Antoine Fuqua
2034,Antoine Fuqua
9481,Phillip Noyce
10684,Edward Zwick
9882,Edward Zwick
388,Spike Lee
8470,Nick Cassavetes
41823,Spike Lee
20504,Albert Hughes
136400,Baltasar KormÌÎÌkur
8467,NA
17979,Robert Zemeckis
3594,Joel Schumacher
8871,Ron Howard
2123,Bobby Farrelly
100042,Bobby Farrelly
310,Tom Shadyac
1624,Tom Shadyac
3049,Tom Shadyac
58224,Mark Waters
854,Chuck Russell
10201,Peyton Reed
9894,Ben Stiller
38,Michel Gondry
37165,Peter Weir
857,Steven Spielberg
640,Steven Spielberg
594,Steven Spielberg
296098,Steven Spielberg
88794,Clint Eastwood
13,Robert Zemeckis
8358,Robert Zemeckis
5255,Robert Zemeckis
12113,Ridley Scott
118,Tim Burton
62213,Tim Burton
162,Tim Burton
3933,Tim Burton
106646,Martin Scorsese
11324,Martin Scorsese
1422,Martin Scorsese
3131,Martin Scorsese
1593,Shawn Levy
181533,Shawn Levy
18360,Shawn Levy
27205,Christopher Nolan
13448,Ron Howard
568,Ron Howard
591,Ron Howard
2619,Ron Howard
1587,Lasse HallstrÌÎå_m
1372,Edward Zwick
866,Marc Forster
59108,Brett Ratner
9384,Todd Phillips
58,Gore Verbinski
862,John Lasseter
109424,Paul Greengrass
22,Gore Verbinski
863,John Lasseter
4147,Sam Mendes
285,Gore Verbinski
4148,Sam Mendes
44896,Gore Verbinski
953,Eric Darnell
1597,Jay Roach
80321,Eric Darnell
2074,David O. Russell
10527,Eric Darnell
693,Jay Roach
116745,Ben Stiller
7446,Ben Stiller
1865,Rob Marshall
9398,Ben Stiller
1907,Danny Boyle
281957,Alejandro G. IÌÎå±ÌÎÌrritu
64682,Baz Luhrmann
768,Albert Hughes
454,Baz Luhrmann
622,Roman Polanski
241259,James Bobin
9614,Dennis Dugan
50546,Dennis Dugan
9032,Dennis Dugan
38365,Dennis Dugan
10202,Adam Shankman
109418,Dennis Dugan
10661,Dennis Dugan
71880,Dennis Dugan
257344,Chris Columbus
9339,Frank Coraci
10663,Frank Coraci
1824,Peter Segal
9291,Peter Segal
8810,NA
44603,Clint Eastwood
286217,Ridley Scott
39538,Steven Soderbergh
11323,Steven Soderbergh
2675,M. Night Shyamalan
3595,Ron Howard
2501,Doug Liman
2503,Paul Greengrass
2024,Roland Emmerich
2502,Paul Greengrass
8834,Richard Donner
943,Richard Donner
944,Richard Donner
324668,Paul Greengrass
9355,George Miller
9659,George Miller
2112,Brian Helgeland
197,Mel Gibson
10590,Randall Wallace
152760,George Clooney
1213,Anthony Minghella
74465,Cameron Crowe
68724,Neill Blomkamp
1572,NA
161,Steven Soderbergh
9802,Michael Bay
298,Steven Soderbergh
1389,Steven Soderbergh
95,Michael Bay
163,Steven Soderbergh
